Geração,FitnessMédio
1,3.442449943181535
2,0.0
3,3.2666680347170725
4,5.7701555754885705
5,1.2483235710909297
6,0.8763210605036982
7,1.2907279695501337
8,3.7911459663872136
9,3.470189095686604
10,1.069432103886456
11,0.7572115129464421
12,6.512886716944751
13,5.168690841837416
14,7.260628278800096
15,7.3976186027995325
16,2.9474800508929926
17,2.9589520105706093
18,1.1899632518528482
19,3.129319875801376
20,8.52600428194502
21,5.152054705597013
22,6.22854226197679
23,3.0743320715379308
24,6.353058268636012
25,3.6942760004382578
26,3.5403425001052122
27,2.724688341382948
28,5.7933310571368235
29,8.002277572786642
30,4.138636374396138
31,5.807220652257717
32,4.3302813743377575
33,6.791839811460102
34,4.488490644161229
35,9.975194440794136
36,6.26251321357242
37,7.54780816717566
38,4.534295276519522
39,3.1842230269567895
40,5.794151096820586
41,9.258762404772536
42,5.0802046888853365
43,4.0450219311505595
44,4.447590837985435
45,5.5560537231832
46,6.9871977499785505
47,7.161950718180466
48,9.667247428861764
49,7.459379208948309
50,4.688926840776601
51,6.514267234174612
52,2.394872941357478
53,6.83565032008034
54,8.166825051053218
55,7.543121673019916
56,6.971092700739564
57,5.2995032791201035
58,5.38309557349527
59,10.123013101579954
60,8.505197219744556
61,5.646350076549046
62,2.8468422235104667
63,6.593241574309762
64,7.80439404517237
65,6.71307674341171
66,7.158241220342797
67,4.790827687202226
68,6.23212454758933
69,2.835533854131161
70,0.0
71,1.421169603562707
72,1.3944830947147189
73,0.10459740565831413
74,3.9756160470166177
75,0.0
76,1.398739585814661
77,0.0
78,1.3879825316196028
79,0.0
80,1.4223738252055942
81,0.0
82,2.763935124815808
83,0.0
84,2.7010206759082473
85,4.239799784544151
86,2.8023191505165954
87,0.0
88,0.0
89,4.057207549404184
90,0.0
91,1.2711119610417676
92,1.4015510958252013
93,2.3914083853783032
94,2.1037798785433655
95,3.9708641677765697
96,2.848874805434307
97,6.5643753649030625
98,6.685747167494344
99,4.789898957837846
100,6.536229889489687
101,7.675134777972572
102,5.404784796802775
103,7.8217028202017875
104,4.499877426857159
105,5.728718386001076
106,8.46047784347309
107,5.328540064758056
108,6.850637077246918
109,9.378130133746122
110,7.3873348137728385
111,7.3719622172803785
112,4.288292138634688
113,8.032842043470938
114,8.935855077944876
115,8.1958838234245
116,6.174057980828664
117,4.788580015117371
118,7.745964164860611
119,6.038403351941882
120,6.872642803747792
121,1.9754755844411427
122,6.39515171495372
123,7.911000749122278
124,4.110238161667444
125,8.801779021378332
126,7.560810498519596
127,5.066469624336316
128,3.3544550888965325
129,5.739363465016619
130,4.237546543725918
131,3.1930065318607257
132,4.691669387996127
133,5.74473025514146
134,3.939558894548102
135,7.416141477460147
136,3.219967756384598
137,3.687022096958696
138,5.558908113534398
139,9.99295829239133
140,7.712197548781356
141,7.449293187671334
142,3.4505200415543156
143,3.5969117204191376
144,6.3214004996303546
145,1.8749459606588048
146,5.547002587680014
147,4.713720315449885
148,2.5899458882944133
149,2.024703770474358
150,5.609099254378066
151,5.99012717784314
152,6.461290697059721
153,5.898152406614716
154,5.867686194917011
155,5.605793902181564
156,2.7606698144408943
157,5.386221842256674
158,2.3818774530206714
159,5.4989480835818
160,6.820659385288742
161,5.794001434291054
162,4.447480103661453
163,3.394070398211494
164,7.526124001118785
165,5.986799504085406
166,7.496432238465253
167,5.764675037585102
168,4.52783417679857
169,3.4794089900068883
170,6.917421879686934
171,3.1564178850480324
172,6.369734001369898
173,5.431802549237352
174,3.460616755075457
175,6.202401110496558
176,4.451260079635327
177,8.272707732727316
178,7.344630350048254
179,7.903205190182632
180,8.828946098740946
181,6.371375996763303
182,4.546257844748129
183,6.985273136058774
184,8.667406431503505
185,5.544452271953777
186,6.809731696897226
187,7.502250276619103
188,7.567125115643923
189,7.970759164570611
190,6.419273648774481
191,6.693031511044841
192,5.738217050056427
193,6.724815511333871
194,8.439695445966153
195,7.073342248885903
196,7.3717652704945635
197,8.011461951139133
198,8.579709304424401
199,6.835169265416769
200,4.838386074176338
201,5.438960925159698
202,3.6483353367401667
203,5.374007011255226
204,5.86145062529043
205,6.12728710601224
206,6.894925112065503
207,5.907124428379275
208,5.303635025807092
209,5.467280352568309
210,6.152158942134291
211,5.5930650406102185
212,5.007783298194658
213,2.77665385864327
214,2.419000334041828
215,4.387653278206647
216,5.243638922992522
217,3.7938733338168986
218,3.011470421544001
219,4.649275457057022
220,2.6443058639727828
221,5.839268630299061
222,1.4355751288143217
223,5.440081030718678
224,2.538269473714115
225,3.1159798431924544
226,2.9513917649828896
227,1.7625018155372867
228,2.5617356677189154
229,1.3475202637990156
230,2.0629275397016476
231,4.554119804421801
232,2.594855794629015
233,2.337608026006066
234,1.7504343394013102
235,1.5103365378241667
236,1.4001144535097614
237,1.0664647483946055
238,4.04686853262119
239,3.316921331631818
240,2.2964423815538817
241,1.8376563933425722
242,2.411358878271917
243,2.1623414651641357
244,2.488108302411006
245,2.1287069372643765
246,1.4438284665434444
247,2.2293485631385357
248,2.0575922400944258
249,2.12622099982843
250,3.147608016499958
251,3.3821211742677475
252,4.437433614585719
253,5.03689951618631
254,1.6570236803318177
255,3.753460809440221
256,3.40946029501576
257,1.7510120359571801
258,1.4925566331419629
259,1.0630735251848635
260,2.330302776776197
261,1.0755094185240914
262,1.8794317771715137
263,3.08220219364523
264,0.9285757868634954
265,1.0396010620612415
266,2.5061303078163695
267,0.3143395767010751
268,0.4092195387103687
269,0.9417157162966923
270,2.7439526861433943
271,0.5390735877998045
272,2.316449205553347
273,2.7189619233674804
274,4.343623116777482
275,2.555336033864637
276,2.5192883401824284
277,1.4374299211874273
278,3.8545173697692854
279,2.207677237541286
280,1.5280745562078286
281,3.7434292146007784
282,1.5762632677547788
283,2.1545067497253387
284,2.927703918505333
285,0.9342807942802315
286,2.514360533624866
287,2.3415499527885126
288,2.277385016982329
289,0.4090122295034234
290,2.025955802080436
291,4.7724819408478565
292,3.5184524652226727
293,3.0593085610984216
294,4.162977063019414
295,1.149398687336369
296,3.1580692700357806
297,2.1018888674375504
298,3.7988933342694104
299,4.616647758904476
300,2.678817766027514
