Generation,Individual,Fitness,Score_Color_Line,Score_Proximity_Collisions,Score_Distance_Area,Collisions,genome
1,1,0.14188333333333325,0.4013333333333333,1.0,0.010833333333333334,0,"[ 1.  -0.8  0.5 -0.5 -0.8  1.  -0.5  0.5  0.5 -1.   0.5 -1.   1.  -0.5
  1.  -0.5 -1.   0.5 -1.   0.5  0.1 -0.1  0.2 -0.2  0.8 -0.5 -0.5  0.8
  0.3 -0.3 -0.3  0.3  0.1  0.1]"
1,2,0.04671666666666667,0.05433333333333333,0.031166666666666665,0.0013333333333333333,5813,"[ 0.36971266 -0.7367163  -0.50564011  0.51303673  0.5794943   0.1568856
 -0.82459272 -0.2414946  -0.1071497  -0.49747837  0.11674116  0.053764
  0.65814646  0.66769592 -0.61086708  0.21805159  0.13910708  0.94764421
  0.32998291 -0.79060429 -0.24515626  0.45810274 -0.24660583 -0.37236802
  0.62659848  0.76086846 -0.5914021   0.3544484   0.38750667 -0.31040682
 -0.71764898 -0.45785659 -0.03248801 -0.71894697]"
1,3,0.09998888888888889,0.0,0.9998333333333334,5.555555555555556e-05,1,"[-0.9348109  -0.57046496  0.96716439  0.55201449 -0.12690683 -0.55706954
 -0.41222831 -0.69706816 -0.48966342 -0.73010711  0.99133436  0.81282623
 -0.70874126  0.98100413 -0.8395771   0.13286942 -0.50394379 -0.18623774
  0.84286012  0.05764881 -0.10438618  0.35868122 -0.14017497  0.6046988
  0.48958841 -0.17482545 -0.01144594  0.59057038 -0.22658531  0.18170558
 -0.41742067 -0.53134903  0.08482522 -0.19432611]"
1,4,0,0.8356666666666667,0.5325,0.0365,2805,"[ 0.54996663 -0.5570913   0.10508519  0.61378297  0.36478686 -0.25815625
 -0.01695531 -0.4415684   0.76753185  0.84616598  0.99731954 -0.74903874
 -0.79735774 -0.51293643 -0.50711189  0.33017587 -0.68223523  0.52662443
 -0.02482126  0.76522456  0.99877266 -0.33132705 -0.15780115  0.05091082
 -0.52023882  0.72885276 -0.08693535  0.06969151  0.48232587  0.87307761
  0.1052244   0.61540053  0.05432365  0.56046225]"
1,5,0.10012222222222222,0.00016666666666666666,0.9998333333333334,5.555555555555556e-05,1,"[ 0.38226323  0.40478264  0.20312779  0.52629684  0.65827579  0.70403487
 -0.29184922  0.41843255 -0.91767669  0.82823834 -0.40303849 -0.50137021
 -0.94530292 -0.71779562 -0.70265761  0.8868074  -0.62732787 -0.30747566
 -0.17590357 -0.01681854 -0.54726725 -0.45333613  0.10030816  0.93691427
  0.39951553  0.73972665  0.62100468  0.7478466  -0.6293621  -0.46329787
  0.96289731  0.61946932 -0.85500082 -0.55520383]"
1,6,0.18312222222222224,0.1025,1.0,0.011222222222222222,0,"[-0.8792594   0.97946131  0.88832661 -0.69126673  0.89036997 -0.1657476
  0.22750103 -0.54372803 -0.25104147 -0.63563455  0.20930263  0.13461603
  0.31989181 -0.87827957 -0.36441034  0.19671562 -0.22632028  0.70887709
  0.87028991  0.05979799 -0.713981    0.61218502  0.3727015   0.18787327
  0.85610591  0.39903601  0.00885568 -0.55525352  0.9545081   0.97623515
 -0.70124799  0.23094435  0.4562376  -0.34209527]"
1,7,0.1,0.0,1.0,0.0,0,"[-0.18450039  0.96140879  0.59691336 -0.70092739 -0.80948686  0.91397692
 -0.84756447 -0.17748161  0.89191934 -0.43738297 -0.6348709  -0.05811332
  0.59059789 -0.32855692 -0.20563098  0.40747732 -0.60931958 -0.98382911
 -0.43325827  0.07553361  0.62725755 -0.20948585  0.10092833 -0.63165852
 -0.58450001 -0.18549985  0.26269014 -0.94637542  0.70907283 -0.79613614
  0.19114014  0.41149215 -0.89653729  0.25629741]"
1,8,0,0.9276666666666666,0.5471666666666667,0.03827777777777778,2717,"[-0.49820981 -0.45335368 -0.62566885 -0.20531938  0.55707782 -0.22984082
 -0.36755161 -0.96840874  0.97727024  0.55072275  0.73723829  0.99122016
 -0.3716518  -0.42722605  0.97460133 -0.26556739  0.78896493 -0.05943494
 -0.78120518 -0.82638523  0.6460852   0.88829402  0.10014841  0.01672444
  0.28643309 -0.95970011  0.63973997  0.16617628 -0.20397446 -0.11836865
  0.53567778 -0.69586822 -0.11151178  0.89459632]"
1,9,0.151911111111111,0.4181666666666667,1.0,0.01011111111111111,0,"[ 0.23553647  0.99596276  0.27528116 -0.16423743 -0.87881496 -0.19097553
  0.84634595 -0.66535523 -0.71600176  0.99137473  0.33888691  0.0571801
  0.19860051 -0.23736549 -0.30276296 -0.84971971  0.06118894  0.99706648
 -0.03404497  0.88576048 -0.81643158 -0.19808593  0.40728035 -0.44742075
 -0.62057124 -0.34509971  0.41595668  0.062978    0.41317474  0.68593173
  0.21550298  0.52597108  0.2435067  -0.90058592]"
1,10,0.15169999999999995,0.41783333333333333,1.0,0.01,0,"[-0.729097   -0.00885618  0.35347194 -0.05640877 -0.34905179  0.23693504
 -0.29678874  0.58234932 -0.03855445 -0.96234457  0.2887549   0.90130456
  0.16284732 -0.83313236 -0.73476725  0.96320319 -0.05708786 -0.2278899
 -0.19350751  0.0776408   0.57432947  0.72454818  0.65877749  0.0950513
 -0.78375466 -0.14465522 -0.00261489 -0.41610018  0.19797892 -0.86487365
  0.98939668 -0.43231131  0.5499209  -0.4108517 ]"
2,1,0.15274444444444435,0.4185,1.0,0.016444444444444446,0,"[-0.8792594   0.97946131  0.88832661 -0.69126673  0.89036997 -0.1657476
  0.22750103 -0.54372803 -0.25104147 -0.63563455  0.20930263  0.13461603
  0.31989181 -0.87827957 -0.36441034  0.19671562 -0.22632028  0.70887709
  0.87028991  0.05979799 -0.713981    0.61218502  0.3727015   0.18787327
  0.85610591  0.39903601  0.00885568 -0.55525352  0.9545081   0.97623515
 -0.70124799  0.23094435  0.4562376  -0.34209527]"
2,2,0.15370555555555565,0.4196666666666667,1.0,0.019055555555555555,0,"[ 0.23553647  0.99596276  0.27528116 -0.16423743 -0.87881496 -0.19097553
  0.84634595 -0.66535523 -0.71600176  0.99137473  0.33888691  0.0571801
  0.19860051 -0.23736549 -0.30276296 -0.84971971  0.06118894  0.99706648
 -0.03404497  0.88576048 -0.81643158 -0.19808593  0.40728035 -0.44742075
 -0.62057124 -0.34509971  0.41595668  0.062978    0.41317474  0.68593173
  0.21550298  0.52597108  0.2435067  -0.90058592]"
2,3,0.49788333333333323,0.9968333333333333,0.9991666666666666,0.0003333333333333333,5,"[-0.9348109  -0.57046496  0.96716439  0.55201449 -0.8         1.
 -0.5         0.5         0.5        -1.          0.43725501 -1.
  1.         -0.5         1.         -0.55393401 -1.          0.5
 -1.          0.48925505  0.1        -0.06619996  0.2        -0.2
  0.87425539 -0.5        -0.47031953  0.8         0.3        -0.3
 -0.3         0.3         0.1         0.1       ]"
2,4,0.12206111111111106,0.36733333333333335,1.0,0.01661111111111111,0,"[ 1.         -0.8         0.5        -0.5        -0.12690683 -0.5860592
 -0.41222831 -0.69706816 -0.48966342 -0.73879858  0.99133436  0.81282623
 -0.70874126  0.98100413 -0.8395771   0.13286942 -0.50394379 -0.18623774
  0.84286012  0.05764881 -0.03882549  0.40622579 -0.14017497  0.6046988
  0.48958841 -0.17482545 -0.01144594  0.5258254  -0.22658531  0.18170558
 -0.41742067 -0.53134903  0.08482522 -0.19432611]"
2,5,0,0.9983333333333333,0.15416666666666667,5.555555555555556e-05,5075,"[ 0.23553647  0.98385047  0.27528116 -0.16423743 -0.87881496  1.
 -0.52359395  0.5         0.5        -1.          0.5        -1.
  1.         -0.5         1.         -0.5        -1.          0.5
 -1.          0.5         0.16094387 -0.1         0.2        -0.2
  0.8        -0.5        -0.5370258   0.8         0.3        -0.3
 -0.3         0.27372737  0.1         0.1       ]"
2,6,0,0.44283333333333336,0.9976666666666667,0.01577777777777778,14,"[ 1.         -0.8         0.5        -0.48922269 -0.78876352 -0.19097553
  0.84634595 -0.66535523 -0.71600176  0.99137473  0.33888691  0.05175398
  0.19860051 -0.23736549 -0.30276296 -0.84971971  0.06118894  0.99706648
 -0.03404497  0.88576048 -0.81643158 -0.19808593  0.40728035 -0.44742075
 -0.62057124 -0.34509971  0.41595668  0.062978    0.41317474  0.68887807
  0.21550298  0.48600521  0.2435067  -0.90058592]"
2,7,0.49192222222222215,0.9866666666666667,0.9996666666666667,0.00022222222222222223,2,"[-0.8792594   0.97946131  0.88832661 -0.6518992   0.93494925  0.91397692
 -0.84756447 -0.17748161  0.89191934 -0.43738297 -0.6348709  -0.05811332
  0.59059789 -0.32855692 -0.20563098  0.40747732 -0.60931958 -0.98382911
 -0.38185384  0.07553361  0.62725755 -0.22927303  0.10092833 -0.63165852
 -0.58450001 -0.18549985  0.26269014 -0.94637542  0.70907283 -0.79613614
  0.19114014  0.39940633 -0.96327601  0.25629741]"
2,8,0.5016055555555554,1.0,1.0,0.016055555555555556,0,"[-0.28409753  0.96140879  0.58854113 -0.70092739 -0.80948686 -0.1657476
  0.22750103 -0.54372803 -0.25104147 -0.63563455  0.20930263  0.13461603
  0.31989181 -0.82151493 -0.36441034  0.19671562 -0.22632028  0.70887709
  0.87028991  0.05979799 -0.713981    0.61218502  0.3727015   0.18787327
  0.85610591  0.39903601  0.00885568 -0.60556672  0.9545081   1.00955229
 -0.70124799  0.23094435  0.4562376  -0.34209527]"
