Generation,AverageFitness
1,0.4925
2,0.9824999999999999
3,0.9400000000000001
4,0.7525
5,1.25
6,0.02
7,0.86
8,2.125
9,1.5899999999999999
10,0.7725000000000001
11,0.795
12,1.02
13,1.0
14,1.9949999999999999
15,0.975
16,0.9950000000000001
17,0.825
18,1.27
19,1.6800000000000002
20,0.505
21,1.2349999999999999
22,1.0675000000000001
23,0.1625
24,0.635
25,1.295
26,0.2525
27,0.7025
28,0.6599999999999999
29,0.49750000000000005
30,0.5725
31,0.5275000000000001
32,0.395
33,0.335
34,0.1475
35,0.575
36,0.3625
37,0.53
38,0.5349999999999999
39,0.8625
40,0.225
41,1.2349999999999999
42,0.9125
43,0.5
44,1.5074999999999998
45,0.6375
46,1.0699999999999998
47,0.1925
48,0.585
49,0.915
50,1.0925
51,0.7325
52,0.3275
53,1.5975
54,1.2775
55,0.6599999999999999
56,0.675
57,0.97
58,0.975
59,0.775
60,0.9400000000000001
61,0.665
62,0.8724999999999999
63,1.2174999999999998
64,0.7424999999999999
65,1.4525000000000001
66,1.4125
67,0.85
68,1.0425
69,0.36
70,1.26
71,0.5725
72,0.765
73,1.405
74,2.7325
75,1.2
76,4.0475
77,1.0474999999999999
78,0.655
79,0.12
80,0.45499999999999996
81,1.2449999999999999
82,0.66
83,1.1925000000000001
84,2.9525
85,0.9475
86,1.1125
87,1.0699999999999998
88,1.0425
89,1.3625
90,1.225
91,1.01
92,0.3975
93,1.1125
94,0.695
95,0.655
96,0.26999999999999996
97,1.19
98,0.505
99,1.3975
100,1.7650000000000001
101,0.675
102,0.2575
103,0.58
104,0.4025
105,2.1774999999999998
106,1.365
107,0.3075
108,0.4
109,0.23000000000000004
110,0.5349999999999999
111,0.04
112,2.415
113,1.3
114,1.15
115,1.1199999999999999
116,1.09
117,1.26
118,0.25
119,0.705
120,1.1149999999999998
121,0.265
122,0.2
123,0.0475
124,0.44000000000000006
125,0.95
126,1.4575
127,1.73
128,0.1875
129,0.0875
130,0.735
131,1.1275
132,0.8625
133,0.5025000000000001
134,0.4875
135,1.0375
136,0.58
137,0.625
138,0.4
139,1.0799999999999998
140,0.55
141,0.1775
142,0.6625
143,0.34750000000000003
144,0.6075
145,0.595
146,0.5775
147,0.43
148,0.8474999999999999
149,0.34500000000000003
150,0.24500000000000002
151,0.745
152,0.005
153,1.0174999999999998
154,1.055
155,0.075
156,0.0
157,0.8300000000000001
158,0.6125
159,0.8150000000000001
160,0.5725
161,0.7849999999999999
162,0.19
163,0.16999999999999998
164,0.32999999999999996
165,0.44749999999999995
166,1.0074999999999998
167,0.335
168,0.29500000000000004
169,0.3075
170,0.45249999999999996
171,1.1024999999999998
172,0.43
173,0.7175
174,0.775
175,0.465
176,0.5425
177,0.6475
178,1.125
179,1.1149999999999998
180,1.0575
181,1.0074999999999998
182,0.0975
183,0.3075
184,0.40750000000000003
185,0.225
186,0.9925
187,0.4025
188,0.76
189,0.6925000000000001
190,1.1949999999999998
191,1.3475
192,0.7925
193,0.8975
194,1.255
195,1.1824999999999999
196,0.8925000000000001
197,1.0875
198,0.20750000000000002
199,0.73
200,0.545
201,1.1375
202,0.7675
203,0.4725
204,1.2325
205,0.335
206,1.0725
207,0.46499999999999997
208,0.46749999999999997
209,0.8325000000000001
210,0.945
211,0.40750000000000003
212,1.19
213,0.5725
214,0.9425000000000001
215,1.25
216,0.82
217,0.9425000000000001
218,0.8925000000000001
219,0.8125
220,0.7825
221,0.35750000000000004
222,1.1475
223,0.76
224,0.55
225,0.2975
226,1.165
227,0.41500000000000004
228,0.5625
229,0.8674999999999999
230,0.41
231,0.9025000000000001
232,0.6300000000000001
233,0.9099999999999999
234,0.3875
235,0.5599999999999999
236,1.1125
237,0.48
238,0.2875
239,0.5974999999999999
240,0.5425
241,1.0325
242,0.6
243,0.4125
244,0.9775
245,0.835
246,0.45999999999999996
247,0.825
248,0.8425
249,0.575
250,0.605
251,0.8
252,0.3725
253,0.8425
254,0.8074999999999999
255,0.5175
256,1.0225
257,1.3050000000000002
258,0.9324999999999999
259,1.08
260,0.4725
261,1.0174999999999998
262,0.5075000000000001
263,1.1800000000000002
264,3.7525
265,0.6649999999999999
266,0.85
267,0.865
268,1.035
269,0.7325
270,0.40499999999999997
271,1.2799999999999998
272,1.0025
273,0.9525
274,1.2475
275,2.0175
276,2.14
277,0.6525000000000001
278,0.76
279,1.5175
280,0.6900000000000001
281,1.49
282,0.7775000000000001
283,0.95
284,2.49
285,1.125
286,2.025
287,0.475
288,1.7399999999999998
289,0.805
290,0.5925
291,0.7775
292,1.19
293,1.6275
294,0.48250000000000004
295,1.02
296,0.5475000000000001
297,0.655
298,0.58
299,0.2925
300,0.3225
301,0.6325000000000001
302,0.6325
303,0.465
304,0.9625
305,0.6475
306,0.40750000000000003
307,0.5125
308,0.9974999999999999
309,0.5549999999999999
310,0.0975
311,0.4149999999999999
312,0.7725
313,0.685
314,0.595
315,0.36500000000000005
316,0.385
317,0.9400000000000001
318,0.665
319,0.3
320,0.9875
321,0.44000000000000006
322,0.6375
323,0.5275
324,0.3525
325,0.6024999999999999
326,0.8925000000000001
327,1.0574999999999999
328,0.7875
329,0.42000000000000004
330,0.825
331,0.8474999999999999
332,0.28250000000000003
333,1.035
334,0.1725
335,0.22749999999999998
336,1.2125
337,0.8925000000000001
338,0.205
339,0.32
340,0.4575
341,1.0575
342,1.65
343,0.445
344,1.7449999999999999
345,0.7025
346,0.31
347,0.805
348,0.47750000000000004
349,1.2875
350,1.7225000000000001
351,1.1625
352,1.1525
353,0.9824999999999999
354,1.59
355,0.8
356,0.585
357,1.3475
358,0.8275
359,1.0799999999999998
360,1.2175
361,0.205
362,0.9174999999999999
363,1.0175
364,0.755
365,0.205
366,1.2125
367,0.6975
368,1.105
369,1.24
370,1.2625
371,1.165
372,1.0425
373,0.1925
374,0.40750000000000003
375,0.5475000000000001
376,0.4125
377,0.5800000000000001
378,0.4025
379,1.0975
380,0.5025000000000001
381,0.3925
382,0.3825
383,0.6075
384,0.6575
385,0.51
386,1.0474999999999999
387,0.39249999999999996
388,1.04
389,0.8550000000000001
390,0.6725
391,0.9400000000000001
392,1.3125
393,0.38
394,0.355
395,0.93
396,0.345
397,0.7150000000000001
398,0.7474999999999999
399,0.8574999999999999
400,0.34249999999999997
401,0.22749999999999998
402,0.6275
403,0.2875
404,0.5975
405,0.925
406,2.5625
407,0.11500000000000002
408,0.4925
409,0.8724999999999999
410,1.09
411,0.5974999999999999
412,1.7425000000000002
413,0.40499999999999997
414,0.7274999999999999
415,1.9925000000000002
416,0.0
417,0.22000000000000003
418,0.18
419,0.14750000000000002
420,0.0775
421,0.7275
422,0.9875
423,1.1575
424,0.1375
425,0.2325
426,0.275
427,0.1875
428,0.545
429,0.24499999999999997
430,1.01
431,0.5525
432,0.5425
433,0.93
434,1.535
435,0.5375
436,0.27999999999999997
437,0.7025
438,0.13499999999999998
439,0.1275
440,0.2675
441,0.3725
442,0.5375
443,0.59
444,0.8924999999999998
445,0.4425
446,0.10500000000000001
447,0.3175
448,1.045
449,0.52
450,0.1075
451,0.36
452,0.5225
453,0.195
454,0.635
455,0.295
456,0.51
457,0.3875
458,0.5549999999999999
459,0.5525
460,0.1025
461,1.0175
462,0.325
463,0.2375
464,0.0875
465,0.7575000000000001
466,0.495
467,0.7275
468,0.05500000000000001
469,0.96
470,1.42
471,0.21000000000000002
472,0.885
473,0.71
474,0.3
475,0.62
476,0.33
477,0.4625
478,0.4725
479,0.43500000000000005
480,0.49749999999999994
481,0.8724999999999999
482,0.6475
483,0.9324999999999999
484,0.5325
485,1.1525
486,0.655
487,0.8099999999999999
488,0.86
489,0.4225
490,1.0
491,1.8325
492,0.6599999999999999
493,0.7424999999999999
494,0.8925000000000001
495,0.015000000000000003
496,0.5075000000000001
497,1.0825
498,0.8424999999999999
499,0.6575
500,1.0025
501,0.605
502,0.9925
503,0.625
504,0.575
505,1.4025
506,0.28500000000000003
507,0.6375
508,0.3
509,0.49749999999999994
510,0.2475
511,0.1375
512,0.9675
513,1.3425
514,0.36
515,0.775
516,0.475
517,0.4
518,0.47750000000000004
519,0.3075
520,0.48250000000000004
521,0.2525
522,0.8400000000000001
523,0.585
524,0.7875
525,0.8950000000000001
526,1.1800000000000002
527,2.2475
528,0.325
529,0.39
530,0.4875
531,0.8049999999999999
532,0.5075000000000001
533,0.4625
534,0.71
535,1.0925
536,0.42000000000000004
537,0.9875
538,0.8699999999999999
539,0.75
540,0.3825
541,0.585
542,1.0799999999999998
543,1.1875
544,0.31
545,0.185
546,0.41500000000000004
547,0.6174999999999999
548,0.34500000000000003
549,0.36
550,0.845
551,0.6825
552,0.8699999999999999
553,0.8775000000000001
554,1.0950000000000002
555,1.0725
556,0.9099999999999999
557,0.725
558,0.9425000000000001
559,0.32999999999999996
560,0.0
561,1.3725
562,1.1300000000000001
563,1.0150000000000001
564,0.005
565,0.6875
566,0.7224999999999999
567,0.5575
568,0.665
569,0.545
570,0.365
571,0.40750000000000003
572,0.615
573,0.3825
574,0.6849999999999999
575,0.05
576,1.0475
577,0.26
578,0.65
579,1.2475
580,0.49750000000000005
581,0.495
582,0.46499999999999997
583,0.9700000000000001
584,0.3725
585,1.5025
586,1.5025
587,0.525
588,1.7075
589,0.38
590,1.5725000000000002
591,0.78
592,0.915
593,0.0
594,0.175
595,0.13
596,0.3375
597,0.8775000000000001
598,0.46749999999999997
599,0.5599999999999999
600,0.39249999999999996
601,0.615
602,0.99
603,0.335
604,0.55
605,0.3675
606,1.1099999999999999
607,0.7175
608,0.6875
609,0.7424999999999999
610,1.025
611,0.61
612,0.24500000000000002
613,0.3325
614,0.6875
615,0.6775
616,1.2349999999999999
617,0.042499999999999996
618,0.265
619,0.045
620,0.1375
621,0.28500000000000003
622,0.6875
623,0.41000000000000003
624,0.78
625,0.6625
626,0.7575
627,0.5625
628,0.28250000000000003
629,0.705
630,1.0150000000000001
631,0.175
632,0.6425
633,0.3825
634,0.38
635,0.8949999999999999
636,0.485
637,0.40499999999999997
638,0.4175
639,0.56
640,0.5125
641,0.5325
642,0.6725000000000001
643,0.175
644,0.1475
645,0.4425
646,0.225
647,0.585
648,0.7849999999999999
649,0.45
650,0.42000000000000004
651,0.275
652,0.7
653,0.6925
654,0.925
655,0.2375
656,0.45
657,0.45999999999999996
658,0.5399999999999999
659,0.47000000000000003
660,0.7625
661,0.47000000000000003
662,0.2825
663,1.0474999999999999
664,0.25
665,0.15
666,1.035
667,1.4025
668,0.585
669,2.1025
670,0.042499999999999996
671,1.92
672,1.3225
673,0.1325
674,0.365
675,0.48
676,0.335
677,0.6325000000000001
678,0.32
679,0.5725
680,0.18
681,0.6174999999999999
682,0.7175
683,0.7975000000000001
684,0.4875
685,1.065
686,0.4375
687,1.0550000000000002
688,0.145
689,0.78
690,0.44000000000000006
691,0.9025000000000001
692,0.915
693,0.44749999999999995
694,0.485
695,0.18750000000000003
696,0.67
697,0.5175
698,0.5375
699,0.20500000000000002
700,0.775
701,0.615
702,0.3025
703,0.8550000000000001
704,0.9949999999999999
705,0.7375
706,0.3075
707,0.795
708,1.215
709,0.4725
710,0.2225
711,0.5125
712,0.6275000000000001
713,1.03
714,0.3075
715,0.6625
716,0.7474999999999999
717,0.4125
718,0.6
719,0.5575
720,0.9550000000000001
721,0.67
722,0.985
723,0.8474999999999999
724,0.8299999999999998
725,0.5275000000000001
726,0.545
727,0.735
728,0.3675
729,0.54
730,0.63
731,0.7424999999999999
732,0.6174999999999999
733,0.7
734,0.575
735,0.5125
736,0.3375
737,0.55
738,0.47750000000000004
739,0.2925
740,0.6125
741,0.8275
742,0.29
743,0.55
744,0.9924999999999999
745,0.42250000000000004
746,0.31
747,0.8474999999999999
748,0.29
749,0.5775
750,0.125
751,0.36
752,0.6224999999999999
753,0.745
754,1.16
755,0.39
756,0.1075
757,0.5775
758,0.77
759,0.9174999999999999
760,0.5975
761,0.8799999999999999
762,0.9200000000000002
763,0.6950000000000001
764,0.18
765,0.6825
766,0.17750000000000002
767,0.4325
768,0.9199999999999999
769,0.34750000000000003
770,0.8175000000000001
771,0.5025000000000001
772,0.29500000000000004
773,1.1425
774,0.8800000000000001
775,0.41
776,0.034999999999999996
777,0.3525
778,0.725
779,0.28500000000000003
780,0.8225
781,0.7775000000000001
782,1.1724999999999999
