Generation,AverageFitness
1,0.3375
2,0.1625
3,1.93125
4,1.009375
5,0.571875
6,0.7687499999999999
7,1.5906250000000002
8,1.4
9,1.11875
10,2.08125
11,1.425
12,0.86875
13,1.1624999999999999
14,1.509375
15,0.721875
16,3.178125
17,0.7625
18,1.828125
19,1.540625
20,0.9812500000000001
21,1.534375
22,0.8125
23,0.78125
24,1.5562500000000001
25,1.721875
26,0.7250000000000001
27,1.2874999999999999
28,0.5593750000000001
29,1.45
30,1.8343749999999999
31,1.684375
32,2.596875
33,0.521875
34,1.771875
35,1.6375
36,0.21875
37,1.3125
38,0.5625
39,0.7125
40,1.6625
41,1.459375
42,1.140625
43,2.403125
44,0.56875
45,0.715625
46,1.903125
47,0.35
48,1.478125
49,1.825
50,0.6749999999999999
51,0.278125
52,2.446875
53,0.559375
54,0.753125
55,0.6000000000000001
56,0.8125
57,2.04375
58,0.33125
59,1.259375
60,1.028125
61,0.940625
62,1.03125
63,0.7437499999999999
64,1.153125
65,1.359375
66,0.546875
67,1.4781250000000001
68,0.446875
69,1.0375
70,0.925
71,1.9343750000000002
72,0.584375
73,0.603125
74,1.515625
75,1.18125
76,0.55625
77,1.546875
78,1.284375
79,2.584375
80,1.228125
81,1.89375
82,0.896875
83,1.221875
84,0.9
85,2.2625
86,1.15
87,0.9249999999999999
88,1.353125
89,0.79375
90,1.103125
91,0.9
92,0.24375
93,0.0
94,1.309375
95,0.8375
96,0.0
97,1.446875
98,1.578125
99,0.315625
100,0.265625
101,0.2875
102,0.359375
103,1.9437499999999999
104,0.63125
105,0.665625
106,0.51875
107,0.84375
108,1.215625
109,0.8
110,0.953125
111,0.3375
112,0.765625
113,1.3125
114,0.525
115,0.734375
116,0.3375
117,1.4375
118,0.553125
119,0.571875
120,1.025
121,0.7531249999999999
122,1.1687500000000002
123,0.225
124,0.925
125,0.6062500000000001
126,1.878125
127,1.35625
128,0.209375
129,1.8875
130,0.7875
131,1.10625
132,2.13125
133,0.46875
134,0.675
135,1.26875
136,0.253125
137,2.1
138,0.0
139,0.375
140,0.1875
141,0.70625
142,0.6343749999999999
143,2.0656250000000003
144,0.171875
145,0.575
146,0.871875
147,0.428125
148,0.834375
149,0.440625
150,0.27187500000000003
151,1.221875
152,2.2624999999999997
153,1.15625
154,1.1125
155,0.26875
156,1.05625
157,0.59375
158,5.703125
159,2.375
160,1.5562500000000001
161,3.2156249999999997
162,0.31562500000000004
163,5.534375
164,0.209375
165,1.09375
166,0.865625
167,0.4125
168,0.68125
169,0.3
170,0.425
171,4.415625
172,0.265625
173,2.8625
174,1.6625
175,0.54375
176,2.1999999999999997
177,0.215625
178,0.9625
179,0.06875
180,0.09062500000000001
181,2.0375
182,2.2625
183,5.653125
184,3.75625
185,0.10625000000000001
186,1.8375
187,10.61875
188,1.753125
189,1.95
190,5.528125
191,8.909375
192,12.034375
