Generation,AverageFitness
1,0.38333333333333336
2,1.2416666666666667
3,1.45
4,2.1733333333333333
5,1.8850000000000002
6,0.7566666666666666
7,1.3233333333333335
8,2.3833333333333333
9,0.8266666666666665
10,0.7766666666666666
11,1.115
12,0.32666666666666666
13,1.778333333333333
14,0.4133333333333333
15,0.36333333333333334
16,0.74
17,1.1083333333333334
18,1.8683333333333334
19,1.1833333333333331
20,0.15166666666666667
21,1.3533333333333333
22,0.295
23,1.8316666666666666
24,1.0450000000000002
25,1.27
26,2.013333333333333
27,1.3266666666666667
28,1.9283333333333335
29,1.7616666666666667
30,2.0516666666666667
31,3.243333333333333
32,1.3766666666666667
33,2.83
34,1.3283333333333334
35,3.2350000000000003
36,1.5133333333333332
37,2.13
38,2.05
39,1.8349999999999997
40,2.3850000000000002
41,2.416666666666667
42,2.3183333333333334
43,1.7666666666666668
44,1.0550000000000002
45,1.3
46,1.4033333333333333
47,1.6216666666666668
48,0.705
49,2.42
50,0.45666666666666667
51,1.0283333333333333
52,1.025
53,0.9283333333333333
54,1.7899999999999998
55,1.0583333333333333
56,1.1966666666666668
57,0.6433333333333333
58,1.5666666666666669
59,1.8166666666666669
60,3.753333333333333
61,1.5866666666666667
62,0.7150000000000001
63,2.9650000000000003
64,3.3483333333333336
65,0.9350000000000002
66,4.001666666666667
67,1.7100000000000002
68,0.034999999999999996
69,1.52
70,2.2316666666666665
71,3.02
72,2.4116666666666666
73,1.2633333333333332
74,3.4483333333333333
75,2.4983333333333335
76,1.4366666666666668
77,2.586666666666667
78,3.19
79,1.7983333333333333
80,2.6
81,2.025
82,3.0716666666666663
83,3.4899999999999998
84,3.4
85,2.7583333333333333
86,1.903333333333333
87,3.16
88,2.295
89,4.573333333333333
90,5.13
91,5.236666666666666
92,4.803333333333333
93,6.136666666666667
94,5.835
95,2.7583333333333333
96,4.173333333333334
97,5.6033333333333335
98,5.908333333333333
99,4.79
100,6.243333333333334
101,5.455
102,6.495
103,6.583333333333333
104,6.171666666666667
105,5.748333333333333
106,6.659999999999999
107,5.86
108,6.433333333333333
109,5.3950000000000005
110,6.638333333333334
111,4.701666666666666
112,5.081666666666667
113,5.571666666666667
114,4.878333333333333
115,7.301666666666667
116,5.51
117,7.063333333333334
118,6.108333333333333
119,5.858333333333333
120,7.1416666666666675
121,5.9383333333333335
122,6.473333333333334
123,7.111666666666667
124,6.781666666666666
125,7.156666666666666
126,7.026666666666666
127,7.2316666666666665
128,5.865
129,4.468333333333333
130,4.305
131,5.0600000000000005
132,5.16
133,5.798333333333334
134,6.665000000000001
135,4.89
136,3.4799999999999995
137,5.33
138,5.053333333333333
139,4.275
140,3.715
141,5.1049999999999995
142,5.16
143,4.921666666666667
144,5.886666666666667
145,5.8583333333333325
146,3.413333333333333
147,6.523333333333333
148,4.376666666666667
149,4.948333333333333
150,5.8950000000000005
151,5.913333333333333
152,5.85
153,7.3583333333333325
154,5.715
155,5.819999999999999
156,6.703333333333333
157,5.198333333333333
158,6.6066666666666665
159,5.898333333333333
160,5.168333333333334
161,7.278333333333333
162,6.671666666666667
163,7.441666666666667
164,6.508333333333333
165,7.290000000000001
166,5.17
167,7.195
168,6.590000000000001
169,6.665000000000001
170,7.3950000000000005
171,6.506666666666666
172,5.923333333333334
173,6.584999999999999
174,5.885
175,7.318333333333333
176,6.538333333333334
177,4.471666666666667
178,5.928333333333333
179,6.005
180,5.1850000000000005
181,5.821666666666667
182,6.476666666666667
183,5.801666666666667
184,4.546666666666667
185,3.7649999999999997
186,2.1233333333333335
187,5.0216666666666665
188,5.178333333333333
189,6.529999999999999
190,5.2299999999999995
191,2.7800000000000002
192,5.131666666666667
193,5.198333333333333
194,3.693333333333333
195,5.918333333333333
196,6.566666666666667
197,6.571666666666667
198,6.703333333333333
199,6.668333333333334
200,5.871666666666667
201,7.273333333333333
202,5.96
203,6.636666666666668
204,7.1033333333333335
205,6.58
206,6.651666666666666
207,6.459999999999999
208,4.363333333333333
209,4.463333333333333
210,6.013333333333334
211,7.333333333333333
212,6.656666666666666
213,6.34
214,5.8549999999999995
215,5.841666666666667
216,6.8
217,7.441666666666667
218,7.2666666666666675
219,6.581666666666666
220,5.831666666666667
221,5.256666666666666
222,3.91
223,4.516666666666667
224,6.051666666666667
225,5.904999999999999
