Generation,AverageFitness
1,1.1516666666666668
2,1.0775000000000001
3,1.6733333333333333
4,3.8700000000000006
5,4.764166666666666
6,5.210833333333334
7,5.435833333333335
8,5.7108333333333325
9,7.798333333333335
10,5.450833333333334
11,5.725
12,6.544166666666666
13,6.118333333333333
14,5.9366666666666665
15,4.095
16,6.330833333333332
17,8.136666666666667
18,7.565
19,5.5925
20,7.807500000000002
21,7.420000000000002
22,8.030833333333335
23,6.663333333333335
24,8.383333333333333
25,6.200833333333334
26,5.508333333333334
27,7.513333333333333
28,6.320833333333334
29,8.308333333333334
30,9.4675
31,10.345833333333333
32,8.872499999999999
33,9.312500000000002
34,9.440833333333332
35,7.724166666666665
36,8.92
37,8.949166666666667
38,10.695833333333335
39,10.039166666666668
40,10.595833333333333
41,5.581666666666665
42,9.995000000000001
43,7.999999999999999
44,6.568333333333334
45,5.35
46,6.779999999999999
47,5.025833333333334
48,8.081666666666667
49,3.919166666666667
50,5.4316666666666675
51,9.040833333333332
52,5.290000000000001
53,7.457500000000001
54,12.48
55,7.968333333333334
56,9.9825
57,11.246666666666666
58,4.533333333333333
59,9.813333333333334
60,12.541666666666666
61,14.405000000000001
62,13.472499999999998
63,14.276666666666667
64,14.02916666666667
65,15.054166666666665
66,15.085000000000003
67,15.059166666666666
68,12.812499999999996
69,13.475833333333332
70,14.501666666666667
71,14.978333333333332
72,15.020833333333332
