Generation,AverageFitness
1,0.38333333333333336
2,1.2416666666666667
3,1.45
4,2.1733333333333333
5,1.8850000000000002
6,0.7566666666666666
7,1.3233333333333335
8,2.3833333333333333
9,0.8266666666666665
10,0.7766666666666666
11,1.115
12,0.32666666666666666
13,1.778333333333333
14,0.4133333333333333
15,0.36333333333333334
16,0.74
17,1.1083333333333334
18,1.8683333333333334
19,1.1833333333333331
20,0.15166666666666667
21,1.3533333333333333
22,0.295
23,1.8316666666666666
24,1.0450000000000002
25,1.27
26,2.013333333333333
27,1.3266666666666667
28,1.9283333333333335
29,1.7616666666666667
30,2.0516666666666667
31,3.243333333333333
32,1.3766666666666667
33,2.83
34,1.3283333333333334
35,3.2350000000000003
36,1.5133333333333332
37,2.13
38,2.05
39,1.8349999999999997
40,2.3850000000000002
41,2.416666666666667
42,2.3183333333333334
43,1.7666666666666668
44,1.0550000000000002
45,1.3
46,1.4033333333333333
47,1.6216666666666668
48,0.705
49,2.42
50,0.45666666666666667
51,1.0283333333333333
52,1.025
53,0.9283333333333333
54,1.7899999999999998
55,1.0583333333333333
56,1.1966666666666668
57,0.6433333333333333
58,1.5666666666666669
59,1.8166666666666669
